from https://youtu.be/J91C4ZkthDM?t=81… to https://youtu.be/J91C4ZkthDM?t=3681…,,,,,,終了時間
https://youtu.be/J91C4ZkthDM?t=1061,https://youtu.be/J91C4ZkthDM?t=1088,弓と爆弾を同時に持ち、明らかに正規の手段でない方法で空を飛んだため。また、落下ダメージがなくなっている。,https://youtu.be/J91C4ZkthDM?t=1000,https://youtu.be/J91C4ZkthDM?t=1016,空を飛んでいた,
https://youtu.be/J91C4ZkthDM?t=1397,https://youtu.be/J91C4ZkthDM?t=1410,弓と爆弾を同時に持ち、明らかに正規の手段でない方法で空を飛んだため。,https://youtu.be/J91C4ZkthDM?t=1065,https://youtu.be/J91C4ZkthDM?t=1089,空を飛んでいた,
https://youtu.be/J91C4ZkthDM?t=1475,https://youtu.be/J91C4ZkthDM?t=1496,弓と爆弾を同時に持ち、明らかに正規の手段でない方法で空を飛んだため。,https://youtu.be/J91C4ZkthDM?t=1170,https://youtu.be/J91C4ZkthDM?t=1185,爆発の勢いが通常よりも大きくなっていた,
https://youtu.be/J91C4ZkthDM?t=1665,https://youtu.be/J91C4ZkthDM?t=1738,アイテムが増殖したため。,https://youtu.be/J91C4ZkthDM?t=1206,https://youtu.be/J91C4ZkthDM?t=1210,爆発の勢いが通常よりも大きくなっていた,
https://youtu.be/J91C4ZkthDM?t=1864,https://youtu.be/J91C4ZkthDM?t=1870,壁を貫通したため。,https://youtu.be/J91C4ZkthDM?t=1245,https://youtu.be/J91C4ZkthDM?t=1258,爆発の勢いで通常より早く空を飛んでいた,
https://youtu.be/J91C4ZkthDM?t=1925,https://youtu.be/J91C4ZkthDM?t=1973,祠のような場所を使わずに挑戦場のようなところに移動したため。,https://youtu.be/J91C4ZkthDM?t=1279,https://youtu.be/J91C4ZkthDM?t=1282,爆発の勢いが通常よりも大きくなっていた,
https://youtu.be/J91C4ZkthDM?t=2167,https://youtu.be/J91C4ZkthDM?t=2206,弓と爆弾を同時に持ち、明らかに正規の手段でない方法で空を飛んだため。,https://youtu.be/J91C4ZkthDM?t=1326,https://youtu.be/J91C4ZkthDM?t=1337,爆発の勢いで通常より早く空を飛んでいた,
https://youtu.be/J91C4ZkthDM?t=2469,https://youtu.be/J91C4ZkthDM?t=2475,壁の手前に置いた爆弾が壁を貫通してきたため。,https://youtu.be/J91C4ZkthDM?t=1346,https://youtu.be/J91C4ZkthDM?t=1350,爆発の勢いで通常より早く空を飛んでいた,
https://youtu.be/J91C4ZkthDM?t=2481,https://youtu.be/J91C4ZkthDM?t=2488,壁を貫通したため。,https://youtu.be/J91C4ZkthDM?t=1390,https://youtu.be/J91C4ZkthDM?t=1396,爆発の勢いが通常よりも大きくなっていた,
https://youtu.be/J91C4ZkthDM?t=2529,https://youtu.be/J91C4ZkthDM?t=2556,弓と爆弾を同時に持ち、明らかに正規の手段でない方法で空を飛んだため。,https://youtu.be/J91C4ZkthDM?t=1403,https://youtu.be/J91C4ZkthDM?t=1411,空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=1476,https://youtu.be/J91C4ZkthDM?t=1496,空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=1524,https://youtu.be/J91C4ZkthDM?t=1526,爆発の勢いが通常よりも大きくなっていた,
,,,https://youtu.be/J91C4ZkthDM?t=1569,https://youtu.be/J91C4ZkthDM?t=1574,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=1578,https://youtu.be/J91C4ZkthDM?t=1599,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=1645,https://youtu.be/J91C4ZkthDM?t=1741,妖精を増殖させていた,
,,,https://youtu.be/J91C4ZkthDM?t=1818,https://youtu.be/J91C4ZkthDM?t=1823,爆発の勢いが通常よりも大きくなっていた,
,,,https://youtu.be/J91C4ZkthDM?t=1854,https://youtu.be/J91C4ZkthDM?t=1857,爆発の勢いが通常よりも大きくなっていた,
,,,https://youtu.be/J91C4ZkthDM?t=1868,https://youtu.be/J91C4ZkthDM?t=1870,壁を通り抜けていた,
,,,https://youtu.be/J91C4ZkthDM?t=2030,https://youtu.be/J91C4ZkthDM?t=2049,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=2122,https://youtu.be/J91C4ZkthDM?t=2125,爆発の勢いが通常よりも大きくなっていた,
,,,https://youtu.be/J91C4ZkthDM?t=2167,https://youtu.be/J91C4ZkthDM?t=2202,空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=2231,https://youtu.be/J91C4ZkthDM?t=2236,爆発の勢いが通常よりも大きくなっていた,
,,,https://youtu.be/J91C4ZkthDM?t=2269,https://youtu.be/J91C4ZkthDM?t=2272,爆発の勢いが通常よりも大きくなっていた,
,,,https://youtu.be/J91C4ZkthDM?t=2313,https://youtu.be/J91C4ZkthDM?t=2320,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=2411,https://youtu.be/J91C4ZkthDM?t=2418,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=2424,https://youtu.be/J91C4ZkthDM?t=2451,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=2474,https://youtu.be/J91C4ZkthDM?t=2479,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=2486,https://youtu.be/J91C4ZkthDM?t=2488,壁を通り抜けていた,
,,,https://youtu.be/J91C4ZkthDM?t=2533,https://youtu.be/J91C4ZkthDM?t=2556,空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=2577,https://youtu.be/J91C4ZkthDM?t=2579,爆発の勢いが通常よりも大きくなっていた,
,,,https://youtu.be/J91C4ZkthDM?t=2618,https://youtu.be/J91C4ZkthDM?t=2626,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=2628,https://youtu.be/J91C4ZkthDM?t=2643,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=2722,https://youtu.be/J91C4ZkthDM?t=2745,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=2767,https://youtu.be/J91C4ZkthDM?t=2773,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=2785,https://youtu.be/J91C4ZkthDM?t=2787,壁を通り抜けていた,
,,,https://youtu.be/J91C4ZkthDM?t=2840,https://youtu.be/J91C4ZkthDM?t=2860,空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=2894,https://youtu.be/J91C4ZkthDM?t=2900,爆発の勢いが通常よりも大きくなっていた,
,,,https://youtu.be/J91C4ZkthDM?t=2959,https://youtu.be/J91C4ZkthDM?t=2965,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=2973,https://youtu.be/J91C4ZkthDM?t=2976,壁を通り抜けていた,
,,,https://youtu.be/J91C4ZkthDM?t=3029,https://youtu.be/J91C4ZkthDM?t=3035,爆発の勢いが通常よりも大きくなっていた,
,,,https://youtu.be/J91C4ZkthDM?t=3042,https://youtu.be/J91C4ZkthDM?t=3052,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=3076,https://youtu.be/J91C4ZkthDM?t=3081,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=3213,https://youtu.be/J91C4ZkthDM?t=3227,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=3230,https://youtu.be/J91C4ZkthDM?t=3236,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=3254,https://youtu.be/J91C4ZkthDM?t=3274,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=3327,https://youtu.be/J91C4ZkthDM?t=3343,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=3394,https://youtu.be/J91C4ZkthDM?t=3399,爆発の勢いが通常よりも大きくなっていた,
,,,https://youtu.be/J91C4ZkthDM?t=3436,https://youtu.be/J91C4ZkthDM?t=3440,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=3502,https://youtu.be/J91C4ZkthDM?t=3513,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=3593,https://youtu.be/J91C4ZkthDM?t=3606,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=3614,https://youtu.be/J91C4ZkthDM?t=3620,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=3623,https://youtu.be/J91C4ZkthDM?t=3626,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=3629,https://youtu.be/J91C4ZkthDM?t=3640,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=3646,https://youtu.be/J91C4ZkthDM?t=3651,爆発の勢いで通常より早く空を飛んでいた,
,,,https://youtu.be/J91C4ZkthDM?t=3677,https://youtu.be/J91C4ZkthDM?t=3684,爆発の勢いが通常よりも大きくなっていた,
,,,https://youtu.be/J91C4ZkthDM?t=3686,https://youtu.be/J91C4ZkthDM?t=3691,爆発の勢いで通常より早く空を飛んでいた,
