from https://youtu.be/SRtJ_FzlzVs?t=13214 to https://youtu.be/SRtJ_FzlzVs?t=17274,,,,,,,,
start_time,end_time,reason,,,,,,
https://youtu.be/SRtJ_FzlzVs?si=rBPlKrb4ZHOlv6XF&t=14452,https://youtu.be/SRtJ_FzlzVs?si=c1pDFV2TwYKQgCSZ&t=14489,キャラクターの挙動が不自然。,,,,,https://youtu.be/SRtJ_FzlzVs?si=rBPlKrb4ZHOlv6XF&t=14452,https://youtu.be/SRtJ_FzlzVs?si=c1pDFV2TwYKQgCSZ&t=14489
https://youtu.be/SRtJ_FzlzVs?si=77hJlmb01O6njsNq&t=14762,https://youtu.be/SRtJ_FzlzVs?si=OztawqgL1CmSeWaR&t=14766,キャラクターが大きく飛んでいる。,,,,,https://youtu.be/SRtJ_FzlzVs?si=77hJlmb01O6njsNq&t=14762,https://youtu.be/SRtJ_FzlzVs?si=OztawqgL1CmSeWaR&t=14766
https://youtu.be/SRtJ_FzlzVs?si=UJ40v_VNy2VaYy0V&t=14772,https://youtu.be/SRtJ_FzlzVs?si=V2CfQS9NpEQ0lDGd&t=14776,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=UJ40v_VNy2VaYy0V&t=14772,https://youtu.be/SRtJ_FzlzVs?si=V2CfQS9NpEQ0lDGd&t=14776
https://youtu.be/SRtJ_FzlzVs?si=6oQAdHsqZ9bZKqAE&t=15042,https://youtu.be/SRtJ_FzlzVs?si=VRO3r1dg-dS-L3kb&t=15047,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=6oQAdHsqZ9bZKqAE&t=15042,https://youtu.be/SRtJ_FzlzVs?si=VRO3r1dg-dS-L3kb&t=15047
https://youtu.be/SRtJ_FzlzVs?si=-xBU78AGj7H4WLO2&t=15055,https://youtu.be/SRtJ_FzlzVs?si=clneGKmFXXv5wb6V&t=15059,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=-xBU78AGj7H4WLO2&t=15055,https://youtu.be/SRtJ_FzlzVs?si=clneGKmFXXv5wb6V&t=15059
https://youtu.be/SRtJ_FzlzVs?si=bdr2lv7srx3Y11mi&t=15067,https://youtu.be/SRtJ_FzlzVs?si=2Erqrf-kyzrz5vxY&t=15072,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=bdr2lv7srx3Y11mi&t=15067,https://youtu.be/SRtJ_FzlzVs?si=2Erqrf-kyzrz5vxY&t=15072
https://youtu.be/SRtJ_FzlzVs?si=n_OsN3uGCWEJMyza&t=15272,https://youtu.be/SRtJ_FzlzVs?si=B3ZRDCHPjh9UrDvz&t=15275,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=n_OsN3uGCWEJMyza&t=15272,https://youtu.be/SRtJ_FzlzVs?si=B3ZRDCHPjh9UrDvz&t=15275
https://youtu.be/SRtJ_FzlzVs?si=jQ1Fv30XwKaK1-R6&t=15354,https://youtu.be/SRtJ_FzlzVs?si=oLVpWUkTZEz8Q8BZ&t=15359,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=jQ1Fv30XwKaK1-R6&t=15354,https://youtu.be/SRtJ_FzlzVs?si=oLVpWUkTZEz8Q8BZ&t=15359
https://youtu.be/SRtJ_FzlzVs?si=3BkEA1JMju3uVokr&t=15395,https://youtu.be/SRtJ_FzlzVs?si=iu0Qs9idrdSDtfqR&t=15452,キャラクターの挙動が不自然。,,,,,https://youtu.be/SRtJ_FzlzVs?si=3BkEA1JMju3uVokr&t=15395,https://youtu.be/SRtJ_FzlzVs?si=iu0Qs9idrdSDtfqR&t=15452
https://youtu.be/SRtJ_FzlzVs?si=hKckpqB309HpbYmP&t=15504,https://youtu.be/SRtJ_FzlzVs?si=6muzESuG5HiyADKT&t=15508,キャラクターが大きく飛んでいる。,,,,,https://youtu.be/SRtJ_FzlzVs?si=hKckpqB309HpbYmP&t=15504,https://youtu.be/SRtJ_FzlzVs?si=6muzESuG5HiyADKT&t=15508
https://youtu.be/SRtJ_FzlzVs?si=SBqr7wLJbOV99wU2&t=15512,https://youtu.be/SRtJ_FzlzVs?si=3lCiC2fX4mhlAgiv&t=15515,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=SBqr7wLJbOV99wU2&t=15512,https://youtu.be/SRtJ_FzlzVs?si=3lCiC2fX4mhlAgiv&t=15515
https://youtu.be/SRtJ_FzlzVs?si=AtSykEh3Rt0nFgQa&t=15553,https://youtu.be/SRtJ_FzlzVs?si=AtSykEh3Rt0nFgQa&t=15553,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=AtSykEh3Rt0nFgQa&t=15553,https://youtu.be/SRtJ_FzlzVs?si=AtSykEh3Rt0nFgQa&t=15553
https://youtu.be/SRtJ_FzlzVs?si=DxZL1elFGlM8yuPq&t=15621,https://youtu.be/SRtJ_FzlzVs?si=iw6o1CwYQj95tg3w&t=15624,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=DxZL1elFGlM8yuPq&t=15621,https://youtu.be/SRtJ_FzlzVs?si=iw6o1CwYQj95tg3w&t=15624
https://youtu.be/SRtJ_FzlzVs?si=k-0kFcQhjZang6PU&t=15631,https://youtu.be/SRtJ_FzlzVs?si=oYZbZGcG36xNcISW&t=15633,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=k-0kFcQhjZang6PU&t=15631,https://youtu.be/SRtJ_FzlzVs?si=oYZbZGcG36xNcISW&t=15633
https://youtu.be/SRtJ_FzlzVs?si=AZ4NwDjClzecQvrM&t=15642,https://youtu.be/SRtJ_FzlzVs?si=LzioMqT6bf47Revu&t=15646,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=AZ4NwDjClzecQvrM&t=15642,https://youtu.be/SRtJ_FzlzVs?si=LzioMqT6bf47Revu&t=15646
https://youtu.be/SRtJ_FzlzVs?si=VMVcE5qQIPiLig_h&t=15712,https://youtu.be/SRtJ_FzlzVs?si=eJcFDACX4I52g0nz&t=15715,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=VMVcE5qQIPiLig_h&t=15712,https://youtu.be/SRtJ_FzlzVs?si=eJcFDACX4I52g0nz&t=15715
https://youtu.be/SRtJ_FzlzVs?si=xPGa93QP-NhfyiTB&t=16455,https://youtu.be/SRtJ_FzlzVs?si=pKExUb980zngcCnH&t=16479,キャラクターの挙動が不自然。,,,,,https://youtu.be/SRtJ_FzlzVs?si=xPGa93QP-NhfyiTB&t=16455,https://youtu.be/SRtJ_FzlzVs?si=pKExUb980zngcCnH&t=16479
https://youtu.be/SRtJ_FzlzVs?si=NdY91pmlG3JaPTLI&t=16531,https://youtu.be/SRtJ_FzlzVs?si=ly98jHAQdk-EA6Jc&t=16587,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=NdY91pmlG3JaPTLI&t=16531,https://youtu.be/SRtJ_FzlzVs?si=ly98jHAQdk-EA6Jc&t=16587
https://youtu.be/SRtJ_FzlzVs?si=si3NiHIB35wiAREB&t=16841,https://youtu.be/SRtJ_FzlzVs?si=jUwRcgvB7Zx3nKRl&t=16846,キャラクターが大きく飛んでいる。,,,,,https://youtu.be/SRtJ_FzlzVs?si=si3NiHIB35wiAREB&t=16841,https://youtu.be/SRtJ_FzlzVs?si=jUwRcgvB7Zx3nKRl&t=16846
https://youtu.be/SRtJ_FzlzVs?si=33dlWIk6X_d3NJOi&t=16855,https://youtu.be/SRtJ_FzlzVs?si=ddYC9YvAcyBfHG7o&t=16881,キャラクターの挙動が不自然。,,,,,https://youtu.be/SRtJ_FzlzVs?si=33dlWIk6X_d3NJOi&t=16855,https://youtu.be/SRtJ_FzlzVs?si=ddYC9YvAcyBfHG7o&t=16881
https://youtu.be/SRtJ_FzlzVs?si=KxXWQUcJm8igEtoa&t=16987,https://youtu.be/SRtJ_FzlzVs?si=WOggLGz_jy9wA5eD&t=17044,上に同じ,,,,,https://youtu.be/SRtJ_FzlzVs?si=KxXWQUcJm8igEtoa&t=16987,https://youtu.be/SRtJ_FzlzVs?si=WOggLGz_jy9wA5eD&t=17044
